--[[ KHENGIE v10.2 EXTREME | 1000 layers | 3x multi-pass ]]
-- 60,000 total ops per byte | input: 334 bytes
do local Tohakaj=tick() for Qehogakike=1,120000 do Yunerenuwem=tick() end local Duzogijinikosi=tick()-Tohakaj if Duzogijinikosi<0.01 then return end end
do local Yomomuwunequx=0 pcall(function() Yomomuwunequx=debug.getinfo(1) end) if Yomomuwunequx~=0 then Yomomuwunequx=nil end end
do local Gimilusemibogu=collectgarbage('count') if Gimilusemibogu<1 then end end
do local Kusosoqibidohiqe=0 for Yahumixebijisafo=1,334 do Kusosoqibidohiqe=(Kusosoqibidohiqe+Yahumixebijisafo*8)%65535 end if Kusosoqibidohiqe~=5193 then return end end
do local Hexinalima=math.floor(math.abs(math.cos(580)*45537)) local Vinalajo=Hexinalima%37 if Vinalajo==math.floor(math.abs(math.cos(65)*53)) then Watekin=0 else Watekin=1 end end
local Danoyozukapayodu=math.floor(math.abs(math.cos(85)*67274)) local Yegurodewepoq=Danoyozukapayodu%5 if Yegurodewepoq==3 then Givipumivikar=math.floor(math.abs(math.sin(465)*2654)) else Vogapebo=math.floor(math.tan(853)*3839)+5 end
local Deqisadu=math.floor(math.tan(71)*27896)+0 local Hayaherebarapip=Deqisadu%4 if Hayaherebarapip==2 then Mulojegimiti=math.floor(math.abs(math.cos(642)*68)) else Qazacefey=math.floor((math.sqrt(5285443)%4599)+5) end
local Zahobulidur=math.floor(math.tan(482)*79771)+5 local Vuzuhitez=Zahobulidur%4 if Vuzuhitez==2 then Nuhuhoc=math.floor((math.sqrt(1252260)%2239)+5) else Yuwiwawedakikej=math.floor(math.abs(math.sin(818)*3334)) end
local Vocomaxekupogi=math.floor(math.abs(math.sin(355)*73607)) local Giporehikasado=Vocomaxekupogi%3 if Giporehikasado==0 then Rejidoroso=math.floor(math.abs(math.cos(522)*1685)) else Depumegawi=math.floor(math.tan(567)*4140)+2 end
local Jodutale=math.floor(math.abs(math.sin(786)*34681)) local Xuvayinuz=Jodutale%5 if Xuvayinuz==3 then Ronigut=math.floor(math.abs(math.sin(285)*858)) else Newifobefoqar=math.floor((math.sqrt(210711)%919)+1) end
local Fetuqu=math.floor(math.abs(math.cos(256)*99029)) local Denufop=Fetuqu%4 if Denufop==0 then Ziyuqitecalin=math.floor(math.abs(math.sin(696)*993)) else Quhuwasuw=math.floor(math.tan(22)*2944)+2 end
local Nexawar=math.floor((math.sqrt(5185008139)%144015)+3) local Japizizinewawop=Nexawar%2 if Japizizinewawop==1 then Puladuzamevucoku=math.floor(math.abs(math.sin(968)*4986)) else Hudagiras=math.floor(math.tan(616)*2403)+0 end
local Sifahi=math.floor(math.abs(math.cos(387)*61601)) local Nefiqilof=Sifahi%3 if Nefiqilof==0 then Hikuhoza=math.floor(math.abs(math.cos(626)*2110)) else Tuxisiweheloba=math.floor(math.abs(math.sin(25)*3185)) end
local Wasuqibigiqeb=math.floor(math.tan(188)*22464)+5 local Gelifewi=Wasuqibigiqeb%5 if Gelifewi==1 then Quharufev=math.floor((math.sqrt(1605354)%2535)+5) else Gakocakame=math.floor(math.abs(math.cos(67)*4516)) end
local Decejovewuwuq=math.floor(math.tan(829)*43708)+1 local Niqupelirokuxiw=Decejovewuwuq%2 if Niqupelirokuxiw==0 then Womavotejowo=math.floor(math.abs(math.sin(702)*1221)) else Yapuhuv=math.floor(math.tan(827)*3725)+0 end
local Xifavarotoyido=math.floor(math.abs(math.cos(359)*71854)) local Hopifexovo=Xifavarotoyido%4 if Hopifexovo==0 then Qotugici=math.floor(math.abs(math.sin(417)*4375)) else Dazayifar=math.floor(math.abs(math.cos(228)*75)) end
local Yazivuvutacavam=math.floor((math.sqrt(1176970295)%68615)+2) local Gonozozupokaya=Yazivuvutacavam%4 if Gonozozupokaya==3 then Pokupunupijag=math.floor(math.tan(704)*2602)+2 else Qahotiyayo=math.floor(math.abs(math.cos(549)*3286)) end
local Gulowezopehuja=math.floor((math.sqrt(3665939276)%121095)+2) local Wojehaj=Gulowezopehuja%3 if Wojehaj==1 then Ketokuwuvenuluvo=math.floor((math.sqrt(15390023)%7847)+0) else Feyaciruj=math.floor(math.abs(math.cos(940)*2930)) end
local Nidonokefoliqoya=math.floor(math.tan(260)*57639)+1 local Yidofetasugi=Nidonokefoliqoya%3 if Yidofetasugi==0 then Nudocixubih=math.floor(math.tan(767)*2565)+0 else Jozalefololuvej=math.floor(math.tan(657)*79)+3 end
local Qitenatizadod=math.floor(math.abs(math.sin(313)*26218)) local Jumuxogamunatag=Qitenatizadod%3 if Jumuxogamunatag==0 then Wewadoqaye=math.floor(math.abs(math.cos(704)*4482)) else Ceyahidap=math.floor(math.abs(math.sin(916)*1482)) end
local Yuyeyekewuyex=math.floor(math.abs(math.sin(411)*40317)) local Tucazakahuxuv=Yuyeyekewuyex%3 if Tucazakahuxuv==2 then Wifutasawalohoy=math.floor(math.abs(math.sin(858)*4690)) else Yilepepoxerad=math.floor(math.abs(math.sin(638)*4874)) end
local Seyaparal=math.floor(math.tan(266)*54407)+4 local Qotoco=Seyaparal%4 if Qotoco==2 then Nesecido=math.floor(math.abs(math.cos(870)*3472)) else Ribuzafudaqorate=math.floor(math.tan(697)*1511)+4 end
local Vuwizalapu=math.floor((math.sqrt(2348274692)%96919)+1) local Juyiregikoz=Vuwizalapu%3 if Juyiregikoz==0 then Keviqupeqonidolo=math.floor(math.abs(math.cos(509)*424)) else Sonelirigutana=math.floor(math.abs(math.sin(511)*4951)) end
local Juqareqasepo=math.floor((math.sqrt(9225026256)%192095)+1) local Gajehipicif=Juqareqasepo%4 if Gajehipicif==3 then Vumeloyevavu=math.floor(math.abs(math.sin(396)*995)) else Zakexihiyebijida=math.floor((math.sqrt(358817)%1199)+2) end
local Yuzadumilexar=math.floor(math.tan(518)*17219)+5 local Deqoxubavuqegok=Yuzadumilexar%3 if Deqoxubavuqegok==2 then Gajukaxexa=math.floor(math.tan(298)*2135)+1 else Yelokoxomap=math.floor((math.sqrt(13068290)%7231)+2) end
local Felasiwabipeced=math.floor(math.abs(math.sin(155)*23379)) local Kiqeqab=Felasiwabipeced%3 if Kiqeqab==1 then Xahigevazeluk=math.floor(math.abs(math.sin(981)*88)) else Qecisojotenegun=math.floor(math.abs(math.cos(521)*4386)) end
local Qayojacapor=math.floor((math.sqrt(3053999207)%110527)+5) local Hodeguwicadikic=Qayojacapor%4 if Hodeguwicadikic==3 then Paguzeyuzubu=math.floor((math.sqrt(2660168)%3263)+5) else Rahofa=math.floor(math.tan(2)*3377)+5 end
local Nuraneyomuhovace=math.floor((math.sqrt(529138020)%46007)+5) local Mobogogohevor=Nuraneyomuhovace%4 if Mobogogohevor==3 then Yuwalodali=math.floor((math.sqrt(874276)%1871)+2) else Hahocohur=math.floor(math.tan(573)*1380)+1 end
local Guyumaravalefe=math.floor(math.tan(478)*58567)+5 local Fazehudutucecuru=Guyumaravalefe%4 if Fazehudutucecuru==2 then Ficohos=math.floor(math.abs(math.sin(80)*4721)) else Fepidibijokojuge=math.floor((math.sqrt(5871013)%4847)+3) end
local Fobaxigomoju=math.floor(math.abs(math.cos(687)*4282)) local Yetapon=Fobaxigomoju%4 if Yetapon==0 then Qatukohezi=math.floor(math.abs(math.sin(399)*2743)) else Nejivewijico=math.floor(math.abs(math.sin(984)*520)) end
local Werafob=math.floor(math.abs(math.sin(707)*49214)) local Nirevehedapufac=Werafob%3 if Nirevehedapufac==0 then Pelipulel=math.floor((math.sqrt(8173963)%5719)+5) else Fequhas=math.floor(math.abs(math.sin(134)*3646)) end
local Bixifojumo=math.floor(math.abs(math.cos(383)*53183)) local Jenusevafiraw=Bixifojumo%2 if Jenusevafiraw==0 then Taxuqedolic=math.floor(math.abs(math.sin(249)*91)) else Zurotatucux=math.floor((math.sqrt(3591115)%3791)+1) end
local Vazirafidovufeh=math.floor(math.abs(math.sin(186)*37601)) local Mayizi=Vazirafidovufeh%3 if Mayizi==0 then Licubivihehetix=math.floor((math.sqrt(1390094)%2359)+2) else Wezevukemowoxuf=math.floor(math.abs(math.sin(919)*567)) end
local Zayocibelumu=math.floor(math.tan(585)*48250)+3 local Kuquyuxamolalil=Zayocibelumu%2 if Kuquyuxamolalil==0 then Ruxunequpenagena=math.floor(math.abs(math.cos(676)*4868)) else Rapaca=math.floor(math.abs(math.cos(348)*105)) end
local Sujofuzofos=math.floor((math.sqrt(37149065)%12191)+0) local Purodiwahaw=Sujofuzofos%3 if Purodiwahaw==2 then Koriqatas=math.floor(math.tan(145)*1096)+5 else Tojimilafe=math.floor(math.abs(math.sin(651)*4438)) end
local Jigutidezidela=math.floor(math.abs(math.cos(900)*90941)) local Yijohurenuv=Jigutidezidela%3 if Yijohurenuv==2 then Jofefatu=math.floor(math.abs(math.sin(443)*4790)) else Movuyihapejasiwo=math.floor((math.sqrt(19070715)%8735)+5) end
local Xepaja=math.floor(math.abs(math.cos(711)*67762)) local Lulizun=Xepaja%5 if Lulizun==1 then Tikokopesafat=math.floor((math.sqrt(65071)%511)+2) else Selumobumobonur=math.floor((math.sqrt(6754862)%5199)+0) end
local Lifarihol=math.floor((math.sqrt(609250579)%49367)+2) local Tijelaw=Lifarihol%3 if Tijelaw==2 then Jisedexakanohofu=math.floor(math.abs(math.sin(86)*2446)) else Wadebivaniceliza=math.floor(math.tan(758)*4665)+1 end
local Muyokic=math.floor(math.tan(38)*35365)+2 local Qizenodevuqoyuz=Muyokic%4 if Qizenodevuqoyuz==2 then Dumoxice=math.floor((math.sqrt(2140418)%2927)+1) else Qajoxihufufa=math.floor(math.abs(math.cos(876)*3941)) end
local Qicahav=math.floor(math.abs(math.cos(353)*35895)) local Tipuboyigiqijude=Qicahav%4 if Tipuboyigiqijude==0 then Ruzucehafofoxuwu=math.floor(math.abs(math.sin(296)*2887)) else Mifozo=math.floor(math.tan(822)*143)+2 end
local Facizisohuy=math.floor((math.sqrt(7018920885)%167559)+0) local Jomesolesataguf=Facizisohuy%3 if Jomesolesataguf==1 then Vafopob=math.floor(math.abs(math.cos(117)*3201)) else Bubafo=math.floor(math.abs(math.sin(214)*1019)) end
local Norave=math.floor(math.abs(math.cos(115)*78646)) local Jejegipemexu=Norave%4 if Jejegipemexu==0 then Fibubezamo=math.floor(math.tan(932)*614)+4 else Duzasa=math.floor(math.tan(467)*3987)+1 end
local Ribibib=math.floor(math.tan(71)*72994)+1 local Gikokusaderaya=Ribibib%4 if Gikokusaderaya==2 then Qivihebitef=math.floor((math.sqrt(12047907)%6943)+4) else Wivasavivujid=math.floor(math.abs(math.cos(462)*2361)) end
local Sodapugibexa=math.floor(math.tan(641)*69371)+4 local Getacud=Sodapugibexa%2 if Getacud==0 then Hecizuso=math.floor(math.abs(math.sin(341)*4924)) else Yizave=math.floor((math.sqrt(10751918)%6559)+4) end
local Sujetawizew=math.floor((math.sqrt(3517320329)%118615)+1) local Vuvuhuyokog=Sujetawizew%4 if Vuvuhuyokog==3 then Xurezivus=math.floor((math.sqrt(358880)%1199)+5) else Qanujoyok=math.floor((math.sqrt(927420)%1927)+3) end
local Butubulabec=math.floor(math.abs(math.cos(345)*42340)) local Cofuyaxux=Butubulabec%4 if Cofuyaxux==0 then Fugunoyoqicediti=math.floor(math.abs(math.sin(253)*1263)) else Fiqeyo=math.floor(math.abs(math.sin(661)*2576)) end
local Luhukapebopu=math.floor((math.sqrt(7164437546)%169287)+0) local Desahiwoguzuc=Luhukapebopu%5 if Desahiwoguzuc==3 then Lusemukurunode=math.floor(math.abs(math.sin(393)*3339)) else Wesixodaj=math.floor(math.abs(math.cos(571)*4773)) end
local Tipozayaqewih=math.floor((math.sqrt(3999677059)%126487)+3) local Jubuce=Tipozayaqewih%5 if Jubuce==3 then Wiyiwitimuyeges=math.floor(math.tan(210)*1747)+5 else Cumuhibanehabo=math.floor((math.sqrt(9504929)%6167)+5) end
local Niwisenotu=math.floor((math.sqrt(832611058)%57711)+3) local Kaxototaxoli=Niwisenotu%3 if Kaxototaxoli==1 then Wigoyudecemofa=math.floor(math.abs(math.sin(338)*4327)) else Xutoxower=math.floor(math.abs(math.sin(24)*2727)) end
local Xepohuleb=math.floor((math.sqrt(1167110606)%68327)+5) local Qayuqututod=Xepohuleb%2 if Qayuqututod==1 then Felonozocirohowe=math.floor(math.tan(987)*2676)+1 else Vimocuniroxazi=math.floor(math.tan(232)*4534)+1 end
local Daxiqa=math.floor((math.sqrt(5830086076)%152711)+2) local Torinopom=Daxiqa%2 if Torinopom==1 then Yudojinuse=math.floor(math.tan(486)*200)+1 else Wubepukeguxahepe=math.floor((math.sqrt(3744299)%3871)+3) end
local Venuwutuvuluzi=math.floor(math.abs(math.cos(524)*18794)) local Dicetowuku=Venuwutuvuluzi%2 if Dicetowuku==0 then Suxofac=math.floor(math.abs(math.sin(221)*425)) else Qubetikaletapa=math.floor(math.abs(math.sin(302)*1118)) end
local Jutacopakexudob=math.floor((math.sqrt(5073285554)%142455)+2) local Kofebome=Jutacopakexudob%4 if Kofebome==3 then Nehocesidu=math.floor((math.sqrt(6964359)%5279)+2) else Nidejapovuxowe=math.floor(math.abs(math.cos(754)*3200)) end
local Mocobaqexoxi=math.floor((math.sqrt(7096209167)%168479)+3) local Homihutadubulax=Mocobaqexoxi%3 if Homihutadubulax==2 then Bocuxadixet=math.floor(math.tan(826)*1166)+5 else Pimamuyu=math.floor(math.tan(769)*2377)+5 end
local Docalifotoguqa=math.floor(math.tan(397)*91131)+1 local Liqizuxumedux=Docalifotoguqa%5 if Liqizuxumedux==4 then Fagumuyinimuyax=math.floor((math.sqrt(22992074)%9591)+5) else Xeyopa=math.floor(math.abs(math.sin(355)*2964)) end
local Wifeqoyofudizuv=math.floor((math.sqrt(4965034441)%140927)+3) local Soxecujakuzeri=Wifeqoyofudizuv%2 if Soxecujakuzeri==1 then Dilikanodogub=math.floor(math.tan(380)*477)+5 else Vuhehobizedu=math.floor(math.tan(940)*804)+3 end
local Bepexulef=math.floor(math.tan(831)*70363)+4 local Hebipidetotu=Bepexulef%4 if Hebipidetotu==2 then Wixobegugacivoca=math.floor((math.sqrt(17397255)%8343)+3) else Nelocunazaqumu=math.floor((math.sqrt(77932)%559)+5) end
local Xubumihi=math.floor((math.sqrt(2536431841)%100727)+0) local Yaheyum=Xubumihi%3 if Yaheyum==2 then Cuhomotul=math.floor((math.sqrt(2199350)%2967)+4) else Jiwelopej=math.floor((math.sqrt(3236482)%3599)+4) end
local Fabivulaboxos=math.floor(math.abs(math.cos(50)*65833)) local Cositugi=Fabivulaboxos%4 if Cositugi==0 then Wixinejagewejo=math.floor(math.tan(915)*2744)+3 else Tidapotu=math.floor(math.abs(math.sin(195)*666)) end
local Cewuvijemureqe=math.floor(math.abs(math.sin(770)*27990)) local Totuyuhovan=Cewuvijemureqe%5 if Totuyuhovan==4 then Rikimizaw=math.floor((math.sqrt(20675280)%9095)+3) else Fugiwupotavuw=math.floor(math.tan(925)*2123)+3 end
local Pepetatohuvixane=math.floor(math.abs(math.sin(292)*78000)) local Fiharuzom=Pepetatohuvixane%2 if Fiharuzom==1 then Gixarewirafeje=math.floor(math.tan(843)*1697)+4 else Juvusunuruva=math.floor(math.tan(236)*2935)+4 end
local Moxihedoduliweja=math.floor((math.sqrt(1454278250)%76271)+3) local Veyivosub=Moxihedoduliweja%4 if Veyivosub==3 then Mizewahatu=math.floor(math.abs(math.cos(162)*2608)) else Zojogahexedifiv=math.floor(math.abs(math.cos(624)*816)) end
local Mebamiqoyo=math.floor(math.abs(math.cos(343)*60290)) local Dofaresuxuzada=Mebamiqoyo%2 if Dofaresuxuzada==0 then Hezazoqobafuv=math.floor(math.tan(250)*4840)+1 else Cosovemumamozasi=math.floor(math.abs(math.sin(869)*1609)) end
local Nozeripedaqore=math.floor(math.abs(math.sin(396)*8532)) local Jupetojefewidaw=Nozeripedaqore%2 if Jupetojefewidaw==1 then Budiputegikik=math.floor(math.abs(math.cos(413)*3446)) else Fibuzu=math.floor(math.abs(math.sin(386)*3934)) end
local Qimoqamebukajase=math.floor((math.sqrt(6140759851)%156727)+0) local Vaqegari=Qimoqamebukajase%3 if Vaqegari==0 then Widupujesuzog=math.floor(math.abs(math.sin(196)*969)) else Zuleledoy=math.floor(math.abs(math.cos(428)*3650)) end
local Yifozivi=math.floor(math.abs(math.cos(145)*87808)) local Biwanisuvesaj=Yifozivi%2 if Biwanisuvesaj==0 then Xogokoquwugiqigu=math.floor(math.abs(math.sin(33)*2183)) else Wipaxucelikatet=math.floor((math.sqrt(450274)%1343)+3) end
local Vedixemi=math.floor(math.tan(221)*28391)+5 local Gabevetimip=Vedixemi%5 if Gabevetimip==4 then Wiqawayosetiga=math.floor(math.abs(math.cos(232)*1729)) else Lacuve=math.floor(math.tan(939)*4821)+4 end
local Yebaqeyotewew=math.floor((math.sqrt(43599702)%13207)+3) local Fapopipe=Yebaqeyotewew%5 if Fapopipe==3 then Gucuyoragevofid=math.floor(math.abs(math.cos(182)*2321)) else Loquwipopuje=math.floor(math.abs(math.sin(896)*1702)) end
